App_Title,Rating,User_Rating,Update,Size,Installs,Version,Required Android,Category
Events Around - Event Nearby - Discover Event,4.7,36,09-05-2018,1000000,1000,Varies with device,4.0.3 and up,Events
EventOrg-Event Management App for Corporate Events,4.8,20,3/19/2020,5900000,1000,1.3.55,5.0 and up,Events
Event Tickets Center,3.9,104,2/15/2019,2900000,50000,10,4.0.3 and up,Events
Events,3.8,9,1/31/2020,17000000,1000,5.36,4.1 and up,Business
Event Assistant,4.4,8,6/27/2019,9200000,1000,2.52,6.0 and up,Business
Terrapinn Events,4.2,38,3/20/2020,11000000,10000,10.0.9,4.1 and up,Business
Danceplace Events,4.3,11,03-04-2020,22000000,1000,2.2.2,5.0 and up,Events
QuickMobile Events,2.7,44,7/16/2019,88000000,10000,3.2,5.0 and up,Business
Aventri Events,3.3,58,1/28/2020,16000000,50000,1.4.1,4.1 and up,Business
EVENT MOON:  LOCAL EVENTS NEAR ME,4.7,27,3/14/2020,33000000,500,2.8,4.2 and up,Entertainment
Bloomberg,3.3,33,03-04-2019,13000000,100000,2.3,5.0 and up,Finance
LCBO Food & Drink,3.8,32,11-08-2019,7700000,5000,6.0.11,4.4 and up,News & Magazines
Feest - Food & Drink Specials,4.3,14,10/20/2019,11000000,1000,3.0.3,4.1 and up,Food & Drink
"nez - London’s food & drink scene, for less",4.6,490,3/13/2020,42000000,50000,4.1.8620,4.4 and up,Food & Drink
WDW Food&Wine,4.3,28,7/28/2019,3900000,5000,1.0.6,5.0 and up,Food & Drink
Innovative Health & Fitness,4.6,49,9/26/2019,64000000,1000,2.26,5.0 and up,Health & Fitness
IS Library Demo,3.9,14,10/20/2016,2000000,1000,1.1,3.0 and up,Libraries & Demo
Material Dialogs Library Demo,4.8,708,02-08-2020,3700000,10000,3.2.1,4.1 and up,Libraries & Demo
Salt Lake City Public Library,4.6,8,2/28/2019,12000000,1000,1.0.5,4.4 and up,Libraries & Demo
Utilities Library for Android,4.4,52,10/13/2018,2300000,10000,7,4.2 and up,Libraries & Demo
Kent Libraries,4,67,12/22/2018,3700000,10000,4.1.2,4.0.3 and up,Books & Reference
Ticket View Library Demo,4.8,10,10/21/2018,2500000,500,1,4.0.3 and up,Libraries & Demo
Minuteman Library Network,4,36,11/26/2019,11000000,10000,1.2.4,4.1 and up,Education
Library Hub for Android,3.8,13,11-05-2017,3200000,1000,1,4.0 and up,Libraries & Demo
Pinellas Library Cooperative,3.8,6,1/15/2020,6600000,1000,2019.5,5.0 and up,Lifestyle
Hertfordshire Libraries,3.7,66,12/22/2018,3500000,10000,4.1.2,4.0.3 and up,Lifestyle
San Mateo County Libraries,4.6,14,4/24/2018,5800000,1000,1.0.0,4.4 and up,Education
Multipicker Demo Library,4.1,16,6/27/2018,3100000,1000,1.5,4.0 and up,Libraries & Demo
Clevnet Libraries,2.9,48,1/15/2020,6400000,10000,2019.5,5.0 and up,Lifestyle
Sarasota County Libraries,3.9,15,3/24/2020,3700000,1000,1.1.6,4.1 and up,Education
MoTeos - Diary Lifestyle,4.4,42,09-02-2018,7800000,1000,1.4.2,4.1 and up,Lifestyle
Worthy Lifestyle,5,5,02-07-2017,18000000,50,1.0.0,4.0 and up,Productivity
stylios - lifestyle & fashion,4.4,30,1/27/2017,7500000,5000,2.1.1,4.4 and up,Shopping
CLUBHOTEL Lifestyle,3.7,48,2/19/2018,4300000,5000,3.1.0,4.4 and up,Travel & Local
LIFESTYLES,4.9,9,03-06-2020,30000000,100,8.1.12,5.0 and up,Health & Fitness
Healthy lifestyle plan,4.9,46,10/19/2019,22000000,10000,2.0.019,4.4 and up,Health & Fitness
Lifestyle Tracker,3.7,26,2/13/2016,3500000,5000,1.05,4.0 and up,Health & Fitness
BodySite Lifestyle Guide,3.1,15,2/27/2020,1000000,1000,Varies with device,Varies with device,Health & Fitness
Calvo's Lifestyle Club,4.3,28,3/19/2020,38000000,5000,1.9,4.0.3 and up,Lifestyle
LifeStyle Now,4.3,6,02-05-2019,8400000,500,0.1.6,4.1 and up,Social
Akron General LifeStyles,4.1,7,05-10-2019,45000000,500,1.7,5.0 and up,Health & Fitness
Conscious Lifestyle Magazine,3.9,20,4/26/2017,4000000,5000,2.1.4,4.1 and up,News & Magazines
Science News Magazine,3,44,9/18/2019,9100000,5000,42,4.4 and up,News & Magazines
News & Magazine Articles,4.2,41,6/17/2019,6600000,5000,1.5.8,4.4 and up,News & Magazines
Parent Box - 🎁 Positive Parenting Gifting Method,4.9,9,10-01-2017,4400000,1000,2.2,4.1 and up,Parenting
ABC Parenting Guide,4.4,9,8/28/2018,11000000,1000,2.0.3,4.1 and up,Parenting
Extraordinary Parenting,4.4,7,4/29/2015,2000000,5000,1,2.1 and up,Books & Reference
Parenting guide,3.9,14,12-10-2018,5600000,1000,1,4.0 and up,Social
Autism Parenting Magazine,3.7,108,1/15/2020,4400000,10000,2.1.6,4.1 and up,Lifestyle
Parenting Quotes,4.4,133,04-01-2018,6600000,10000,3.8,4.1 and up,Lifestyle
50 Baby & Infant Care Quiz; for new Parents,4.8,33,5/18/2018,7200000,1000,2.2,4.0.3 and up,Parenting
Parenting Tip,5,6,8/19/2019,23000000,5000,1.4,4.0.3 and up,Books & Reference
Kidsstoppress: Parenting & Babycare,5,153,01-09-2020,1000000,5000,Varies with device,4.4 and up,Parenting
Personalization Cards,4.6,15,1/28/2018,4900000,1000,1.0.3,4.4 and up,Personalization
Photographer Calculators  & Tools for Photography,4.2,176,10-06-2019,9500000,10000,19-09-s,4.4 and up,Photography
Photography for Beginners,4.4,414,12/21/2019,11000000,100000,1.0.3,4.0.3 and up,Education
Therapy Productivity Calculator,4.8,10,5/13/2019,2400000,1000,2,4.1 and up,Productivity
HourBuddy - Time Tracker & Productivity,4.4,14,4/15/2019,5800000,1000,1.4,4.4 and up,Productivity
Ultimate Tools,4.6,54,8/18/2017,5400000,1000,1.6,4.0.3 and up,Tools
SmartTraveler,3.9,269,6/18/2019,7900000,50000,1.6,4.0 and up,Travel & Local
VAMONDE | Travel Like a Local,4.1,20,10/15/2019,9600000,5000,3.3.3,4.4 and up,Travel & Local
CWTSato To Go,3.6,329,04-02-2019,31000000,10000,2.3.1,5.0 and up,Travel & Local
Weather App — Live Weather Today,4.7,2066,2/26/2020,12000000,100000,4.8,4.4 and up,Weather
Futsal Board,4.3,1581,05-04-2017,9400000,100000,3.3,2.3.3 and up,Sports
Blocks: Strategy Board Game,4.9,14,01-10-2020,31000000,1000,1.1.5,4.1 and up,Board
Kilter Board,3.2,25,03-04-2020,15000000,5000,1.5.3,4.4 and up,Health & Fitness
BoardGameHub - Find your next board game,4.4,16,1/26/2020,5700000,1000,1.2,5.0 and up,Entertainment
BoardPacks: Board Portal,4.3,22,09-04-2019,24000000,1000,2.5,5.0 and up,Business
Gold Fish Casino Slots 🎰 Free Slot Machines Games,4.8,523654,3/25/2020,1000000,5000000,25.05.01,4.1 and up,Casino
Kids Counting 123 Preschool,4.1,479,11/17/2019,12000000,100000,2.5,2.3 and up,Educational
Baby's Age Tracker - Baby Care,3.4,10,5/29/2019,15000000,5000,1.0.4,5.0 and up,Parenting
Age Calculator - Calculate Age Instantly,4.6,80,11/16/2019,2100000,10000,1.9.1,5.0 and up,Tools
TAME THE MONSTER  Action and adventure with puzzle,4.6,9,6/23/2019,19000000,10,3.1,4.1 and up,Adventure
Creative Arts and Crafts,4.6,12,9/22/2018,7000000,1000,3,4.4W and up,Art & Design
Creativity Test Puzzles,3.7,6,09-09-2019,14000000,1000,1.9.4,4.1 and up,Puzzle
Creative Ideas,3.6,14,4/28/2017,4600000,5000,1,2.3 and up,Art & Design
Kindo - A Puzzle Game To Spark Creativity,4.9,60,10-07-2018,9500000,500,0.0.8,5.0 and up,Puzzle
Creative Art,4.8,34,12-09-2019,5800000,1000,3.3.1,4.0.3 and up,Art & Design
Creative Decorating Ideas,4.4,60,07-09-2019,11000000,50000,1.6,4.1 and up,Lifestyle
Critical and Creative Thinking,3.2,5,8/18/2019,26000000,5000,1.4,4.0.3 and up,Books & Reference
Creative Photo Frame,4.4,15,6/26/2018,24000000,1000,1,4.1 and up,Photography
My Creativity,4.6,32,2/26/2020,8800000,1000,2,4.4 and up,Photography
"Baby Phone 2 - Pretend Play, Music & Learning Free",4.2,131,10/17/2019,44000000,100000,2,4.1 and up,Parenting
Pretend Play in Nature: Explore the Wilderness,3.7,6,12/27/2019,30000000,1000,0.1,4.1 and up,Educational
Business communication,4.2,144,3/21/2020,128000000,50000,3.4.0,4.1 and up,Books & Reference
"Mocktails, Smoothies, Juices : Cool Healthy Drinks",4.5,68,03-06-2020,11000000,10000,2.0.11,4.1 and up,Food & Drink
Zone Health and Fitness,4.9,26,1/31/2020,85000000,1000,1.5,5.0 and up,Health & Fitness
Pure 360 Lifestyle,2.6,167,3/26/2020,21000000,10000,2.2.3,4.4 and up,Health & Fitness
GPS Maps Voice Navigation & Best Route Finder,4.8,50,3/20/2020,5700000,1000,1.1.1,5.0 and up,Maps & Navigation
News & Magazines,4.6,18,10/17/2017,3700000,1000,1.4,4.0 and up,News & Magazines
Pocket Parent,4.4,10,01-10-2020,16000000,1000,1.1,4.4 and up,Parenting
Snappr - Pro Photographers On-Demand,3.9,70,08-01-2019,16000000,5000,1.6.0,5.0 and up,Photography
Note Board,3.8,328,12/28/2019,16000000,10000,8.2,4.0.3 and up,Productivity
White board,4.2,36,03-09-2020,1400000,10000,1.57,5.0 and up,Productivity
Math & Logic - Brain Games: Preschoolers to Age 10,4.2,36,03-02-2020,26000000,10000,7.0.3,4.1 and up,Education
Animal Math Preschool Math Games for Kids Free App,4.5,184,12/17/2019,43000000,50000,1.14.0,4.0.3 and up,Educational
Rats vs Cats survive from cats attack,4.8,19,10-08-2019,43000000,100,1.8,4.1 and up,Casual
Creative Recycled Crafts,4.3,213,11-02-2019,6200000,100000,1,4.3 and up,Lifestyle
Creativity School: Brain Games & Memory Games,4.5,43,03-10-2020,26000000,10000,4.022,4.0 and up,Education
75 Tools For Creative Thinking,2.5,11,06-09-2017,23000000,1000,2.0.2,4.1 and up,Productivity
I Can Communicate! AAC,4.2,46,11/26/2018,69000000,10000,1.13,4.1 and up,Communication
Horizons,4.4,164,4/26/2018,27000000,100000,1.2,7.0 and up,Music & Audio
Timeline View Library Demo,3,45,03-11-2020,2900000,1000,1.1,4.0.3 and up,Libraries & Demo
Delaware Libraries,4.4,12,1/15/2020,6400000,5000,2019.5,5.0 and up,Lifestyle
Free Music Download & Mp3 music downloader,4.6,47664,02-01-2020,7300000,1000000,1.0.5,4.4 and up,Music & Audio
Photography Tips & Tutorials,4.4,237,9/18/2018,2800000,10000,1.0.1,4.1 and up,Photography
FREE WORD GAMES YOU CAN PLAY ALONE - WORD SHIP!,4.9,2535,7/19/2018,44000000,50000,1.102,2.3.3 and up,Word
Card Party - FAST Uno with Friends plus Family,4.4,30832,3/14/2020,1000000,1000000,10000000073,4.1 and up,Card
"Football Live: Live NFL scores, stats and news.",4.4,376,02-10-2020,22000000,100000,8.0.4,4.4 and up,Sports
Your Strategy Needs a Strategy,3.5,156,10-12-2018,73000000,10000,2.4,4.1 and up,Strategy
Creativity School: Brain Training & Memory Games,4.5,43,03-10-2020,26000000,10000,4.022,4.0 and up,Education
Creative App: Wallpapers Ringtones and more,4.5,4729,01-12-2020,20000000,100000,1.4.9.8,5.0 and up,Personalization
"StartUp Idea- How To Start a Business free ,Guide",4.5,74,04-04-2020,9900000,10000,2,5.1 and up,Business
Instant Dating,4.2,57,1/28/2020,19000000,5000,3.0008,4.1 and up,Dating
Companion Entertainment,3.2,9,07-01-2019,57000000,5000,1.0.71,4.3 and up,Entertainment
Galax Event - Create & find Events,4.9,30,02-04-2020,16000000,500,5.1.52,4.0 and up,Social
Material Components Gallery,4.7,20,1/22/2020,1700000,1000,1.5.2,5.0 and up,Libraries & Demo
World Newspaper App : News Break & Magazine App,4.1,31,2/25/2020,6000000,5000,18,4.1 and up,News & Magazines
Goa App - Goa Tourism Travel Guide,4.6,840,02-02-2020,5000000,50000,12.1,5.0 and up,Travel & Local
TakeTours – Book Travel & Vacation Tours,4.1,126,04-05-2020,19000000,10000,1.9.14,4.2 and up,Travel & Local
"Savaari Outstation, Local, Airport Cab Booking app",3.6,844,3/18/2020,23000000,100000,1.0.54,4.1 and up,Travel & Local
Arcade Hooper,4.4,34,10/24/2018,17000000,5000,1.4.4,4.1 and up,Arcade
Ludo with Snakes and Ladders Board Game: SLUDO,4.5,70,2/26/2020,27000000,10000,0.2,4.1 and up,Board
Message board,3.4,72,12/27/2017,1000000,10000,Varies with device,Varies with device,Communication
Sudoku Puzzle - Free Classic Brain Casual Games,4.8,358,2/15/2020,22000000,1000,1.2,4.1 and up,Puzzle
Classic Block Puzzle - Free Casual Game,4.8,491,03-05-2020,24000000,1000,2.2,4.4 and up,Puzzle
"Cooking World: Cook,Serve in Casual & Design Game!",4.2,645,3/13/2020,85000000,100000,1.0.5,4.1 and up,Casual
Chroma Splash: Hyper-Casual Game,4.3,11,10-02-2019,13000000,50,1.9,6.0 and up,Casual
Mini Ship - A Hyper Casual Space Ship Game,4.6,33,4/30/2019,29000000,500,1,4.1 and up,Casual
itsme - casual dating was yesterday! 100% free,4,73,12-09-2018,53000000,5000,1.7.0,4.4 and up,Social
Casual Project Management,2.9,27,4/19/2018,8700000,5000,1.2.2,4.1 and up,Productivity
Spotify Music and Podcasts for TV,2.6,180,3/18/2020,8700000,5000000,1.29.0,5.0 and up,Music & Audio
Pandora Music for TV,3.4,46,10-07-2019,3400000,1000000,4.2.0,5.0 and up,Music & Audio
Quiz Me This - Millionaire Trivia,4.1,18,1/25/2019,5900000,5000,1.1.3,5.0 and up,Trivia
"Runners 🏃: 1st,2nd,3rd Grade Multiplication Game",4,8,07-12-2018,65000000,1000,1.4,4.1 and up,Educational
FamilyLife,4.4,189,10/30/2019,19000000,10000,2.12.28,5.0 and up,Lifestyle
Cluckles' Adventure,4.3,554,01-09-2018,34000000,10000,2.0.1.3,4.4 and up,Action
Brain Games For Adults - Logic Puzzles & Analysis,4.4,13,8/16/2018,10000000,5000,1.4,4.0.3 and up,Puzzle
Brain Games For Adults: Memory Test & Mind Puzzles,4.3,11,07-09-2018,11000000,10000,1.2,4.0.3 and up,Puzzle
Family Locator,3.8,47014,3/30/2020,33000000,1000000,5.9.2,4.1 and up,Travel & Local
Dextra – A collaborative forum for creative people,4.4,274,7/28/2019,7900000,50000,3.3.0,4.2 and up,Art & Design
Offline family music player,4.1,18,06-04-2016,70000000,1000,1.5,4.1 and up,Music & Audio
APP Reference,4.2,18,03-01-2020,4500000,10000,4.2,4.4 and up,Books & Reference
Wonderglade,4.5,310,6/19/2018,35000000,100000,1.5.10,7.0 and up,Casual
Entertainment Tube,4,26,10/30/2019,3800000,5000,1.1.2,4.1 and up,Entertainment
SaversGuide,3.9,71,6/17/2019,7800000,10000,2.2.5,4.2 and up,Entertainment
Walmart Events,3.7,111,01-10-2020,43000000,10000,9.1.0.0,5.0 and up,Productivity
"Empower - Save, spend, track & manage your money",3.9,4774,04-09-2020,62000000,100000,4.6.0.128,5.1 and up,Finance
Personal Finance,3.8,1746,02-12-2020,1000000,100000,Varies with device,Varies with device,Finance
Health and Fitness Tracker,3.7,66,09-02-2015,2300000,10000,1,2.2 and up,Health & Fitness
SJVLS Library Catalog,4.4,19,1/15/2020,6500000,5000,2019.5,5.0 and up,Lifestyle
AppUpdater Library (Demo),4.5,23,02-04-2016,2300000,1000,1,3.0 and up,Libraries & Demo
PLS Connect,3.3,52,12-02-2019,17000000,5000,1.3.3,5.0 and up,Books & Reference
West Sussex Libraries,3.8,31,12/22/2018,3500000,10000,4.1.2,4.0.3 and up,Lifestyle
The Week Magazine US,2.2,1430,04-08-2020,94000000,10000,41.7.0,5.0 and up,News & Magazines
Parenting Quiz: 100+ Puzzles for Parenthood,4.4,114,04-09-2020,5600000,10000,6.0.5,4.1 and up,Parenting
Productivity Journal - Daily Planner: Be Smart,4.2,44,3/31/2019,2600000,5000,6.0.1,5.0 and up,Productivity
JWDTools (Engineering Tools),4.8,345,6/20/2019,14000000,10000,3,4.2 and up,Productivity
Los Angeles Travel Guide,4.7,147,04-11-2020,73000000,10000,12.0.2 (Play),6.0 and up,Travel & Local
Your Guide - World Travel Tour Guide,4.5,61,02-02-2020,14000000,10000,2.12.0,4.4 and up,Travel & Local
Wear Gesture Launcher - Wear OS - Wear launcher,4.4,146,06-04-2018,1000000,10000,Varies with device,Varies with device,Productivity
"Weather Forecast, News, Radar & Widgets : 1Weather",4.6,728465,04-11-2020,1000000,50000000,Varies with device,Varies with device,Weather
Arcade Storm Emulator,3.1,115,12/17/2019,77000000,10000,1.23,5.1 and up,Arcade
MOMO BOARD - Community Builder,4.2,25,01-06-2020,9800000,5000,3.6.1,5.0 and up,Productivity
Magnetic Drawing Board,4.1,38,02-05-2020,3600000,10000,2.3,4.0.3 and up,Entertainment
Tap And Jump Adventure - Casual Game,4.7,24,04-03-2020,4100000,500,1.0.0.436,5.0 and up,Casual
Super Pionero - Adventures of the king´s scout,4.7,423,3/26/2020,28000000,50000,4.4.6,4.1 and up,Adventure
MyTeachingStrategies™ Family,2.3,16,10-10-2019,1000000,10000,Varies with device,Varies with device,Education
My Family Photo Lyrical Video Status Maker,2.7,14,8/14/2019,33000000,10000,3,4.1 and up,Video Players & Editors
Family Video Maker With Music,3.7,62,11/30/2017,16000000,10000,1,3.1 and up,Video Players & Editors
Car Problem Diagnosis & Repair,4,268,1/30/2020,4000000,50000,1,4.1 and up,Auto & Vehicles
NetPal - Global Business Network (eBizPal),4.6,89,4/14/2020,13000000,10000,2.0.3,5.1 and up,Business
Effective Communication FREE,4.8,5,1/20/2020,6800000,50,5.4.2,4.4 and up,Books & Reference
Rez Infinite,4.2,99,1/15/2018,33000000,10000,1.0.3,7.0 and up,Action
Food & Beverage Dictionary,4.6,55,04-08-2019,48000000,10000,1,4.0 and up,Food & Drink
material-about-library Demo,5,12,4/13/2020,2500000,500,3,4.0.3 and up,Libraries & Demo
Demo App for Google Direction Library,2.7,28,10/14/2019,3800000,1000,1.2.0,4.1 and up,Libraries & Demo
Learn Medical Terminology,4,654,09-03-2014,1400000,100000,1.5,1.5 and up,Medical
Read by QxMD,4.7,2130,03-05-2020,16000000,100000,3.8.0.0,4.4 and up,Medical
Parenting Today's Teens,4.7,34,08-09-2019,34000000,10000,3.12.2,4.4 and up,Lifestyle
ViewPointer – Photography Map,4.2,58,04-12-2020,21000000,10000,1.2.3,4.1 and up,Photography
Photography Guide,4.5,65,3/13/2020,14000000,10000,2.3,6.0 and up,Photography
"System Tools - Remote desktop manager, Admin tools",3.5,31,5/24/2018,11000000,5000,1.2.1,4.1 and up,Productivity
Pinball Flipper Classic 11in1 - Arcade Breakout 18,4.3,43049,02-11-2020,37000000,5000000,13.5,4.1 and up,Arcade
Centipede Classic Shooter: Centiplode (Free Game),4.2,356,10/14/2018,6600000,100000,1.62,2.3.3 and up,Arcade
Ultimate Slots: 2019  Vegas Casino Slot Machines,4.3,45435,04-04-2020,84000000,1000000,1.3.5,4.1 and up,Casino
"Loveco: Namoro Casual, Relacionamento, Bate papo",3.2,265,04-04-2020,16000000,50000,2.2,4.3 and up,Dating
Kindergarten Math & Reading - Preschool Education,3.9,507,6/15/2018,81000000,50000,1.2.0,3.0 and up,Education
Word Connect - Free Word Blocks Puzzle Games,4.8,433,03-10-2020,93000000,1000,1.2.0,4.4 and up,Word
Fun games for boys and girls 3-5 years old,4.6,42,10/24/2019,55000000,10000,1.0.0,4.4 and up,Educational
Kindergarten and Preschool Montessori Kids Games,4.2,117,1/14/2020,29000000,50000,1.4,5.0 and up,Educational
DADO: Video Oplayer - Video Music Free(Musinow),4.5,325,04-10-2020,9600000,10000,3,5.0 and up,Music & Audio
Body Language Communication,4.4,50,12/16/2019,10000000,10000,4,4.0.3 and up,Education
Waplog - Free & secure dating app to meet people,4.4,668231,4/15/2020,37000000,10000000,4.1.2,4.3 and up,Social
EventOrg - Virtual Event App,4.9,21,04-09-2020,6000000,1000,1.5.0,5.0 and up,Events
Nearify - Discover Events,3.8,3669,04-02-2019,12000000,100000,9.2,4.1 and up,Events
"Favor - Anything Delivered! Food, Groceries + More",4.5,13549,4/14/2020,1000000,1000000,Varies with device,Varies with device,Food & Drink
Home Fix 3D,4.1,860,3/31/2020,38000000,100000,1.0.9,4.4 and up,Casual
Live Satellite view Earth Map GPS Voice Navigation,4.2,13566,04-10-2020,11000000,5000000,2.1.2,4.2 and up,Maps & Navigation
WORLD Magazine,4.4,53,10/23/2019,28000000,10000,1.21,4.4 and up,News & Magazines
Building Blocks of Parenting,4.4,7,4/15/2020,7300000,1000,2.0.12,5.0 and up,Parenting
Freetour.com - travel app for budget & free tours,4.4,424,4/15/2020,11000000,100000,2.1.7,5.1 and up,Travel & Local
Action Card,4.4,5,2/20/2020,13000000,1000,4.8.0,4.4 and up,Business
Board Exam Solutions: 10 & 12,4.1,4445,08-12-2019,21000000,500000,3.1.4,4.1 and up,Education
Full screen text - Digital Board,4,276,3/18/2017,4500000,50000,1.2,4.4 and up,Tools
LeapFrog Academy™ Educational Games & Activities,3.1,676,11/28/2019,1000000,500000,Varies with device,4.4 and up,Educational
Kindergarten Games for Kids Educational Adventure,4,28,03-08-2020,41000000,10000,1.25,4.1 and up,Educational
True or False? Trivia Quiz!,4.2,1387,4/16/2018,8200000,50000,4.0.1,4.0.3 and up,Trivia
Pixel World Adventure,3.4,45,3/13/2017,25000000,5000,1.1.3,2.3 and up,Adventure
Island Adventure 2019 : Classic Stories,4.1,886,12-06-2018,1000000,100000,1.2,4.1 and up,Adventure
Pictoword: Fun Word Guessing Brain Games,4.3,394692,4/15/2020,85000000,10000000,1.10.7.1,4.1 and up,Word
Family Safety and Locator,4,1045,03-04-2020,7500000,50000,1.1.20,4.1 and up,Social
Kids Craft Ideas,4,1428,10-04-2015,5700000,100000,2.4,3.0 and up,Lifestyle
ABC 123 Preschool Learning Activities for Kids,4.6,49,3/15/2020,15000000,10000,1.8,4.4 and up,Education
"InsituArtRoom,  art on wall, art in room.",3.4,81,4/14/2020,6200000,10000,1.0.71,5.0 and up,Art & Design
AR Viewer (Augmented Reality),2.7,18,3/13/2020,5300000,1000,1.3.1,7.0 and up,Tools
Leo AR - Augmented Reality Camera,2.8,241,11/30/2019,1000000,10000,2019.11.29,7.0 and up,Lifestyle
Build.com - Shop Home Improvement & Expert Advice,4.4,188,3/18/2020,94000000,50000,3.9.5,5.0 and up,House & Home
Real Car Builder Auto Repair Car Mechanic Games 19,3,500,5/23/2019,46000000,500000,1.4,4.4 and up,Auto & Vehicles
Wicca Spells and Tools,4.1,700,05-02-2019,11000000,100000,1.2,4.1 and up,Books & Reference
Sacred books,4.4,641,11/29/2019,16000000,100000,8.5.4,4.4 and up,Books & Reference
Business Tasks,3.8,6494,03-06-2019,4600000,100000,1.6.16,4.1 and up,Productivity
Chatty Comics - Interactive Stories and Text Games,4.4,163,1/17/2020,76000000,10000,0.9.5,5.0 and up,Comics
Ovni Comics,4,554,12/16/2019,14000000,10000,1.2.0,5.0 and up,Comics
Crait - Secure Communication,4.4,85,10/28/2019,43000000,1000,1.5.13,4.1 and up,Social
Buzztime Entertainment,2.3,198,3/23/2020,1000000,10000,0.9.6,6.0 and up,Trivia
IdeasMotors - Motorcycle events & trip planning,4,60,3/29/2020,1000000,10000,Varies with device,4.1 and up,Events
UNATION - Promote and Discover Events Near Me,3.2,128,4/17/2020,20000000,50000,3.2,5.0 and up,Events
Event Portal for Eventbrite,1.9,45,3/17/2020,4900000,10000,1.0.15,4.4 and up,Events
Zeta: Couples Finance,4.1,104,4/16/2020,58000000,10000,3.7.2,5.0 and up,Finance
UIUX - Android Material Design,3.3,24,1/29/2020,48000000,1000,1.4,5.0 and up,Libraries & Demo
Offline Maps: Drive & Navigate with free GPS Map,4.5,693,9/14/2019,33000000,50000,1.4,5.0 and up,Maps & Navigation
"GPS Maps, Voice Navigation & Live Satellite View",4.5,156,01-05-2020,8000000,100000,1.2.1,4.4 and up,Maps & Navigation
Parenting Tips - effective parenting information,4.2,16,4/17/2020,4300000,5000,4.2.3,4.1 and up,Lifestyle
Truece - The app for today's co-parent,3.7,20,01-04-2020,4300000,5000,1.0.3,4.4 and up,Parenting
All Tools in One Box: Smart Tool Box,4.9,21,12-01-2019,13000000,500,1.4.0,5.0 and up,Tools
Matco Tools,4.4,212,4/16/2020,11000000,50000,3.0.16,4.1 and up,Lifestyle
Useful Tools,4.1,500,12-04-2018,4000000,50000,1.0.10,4.0.3 and up,Tools
Location History Viewer,3.4,127,1/13/2019,2900000,10000,1.4.1,5.0 and up,Travel & Local
Calendar For Wear OS (Android Wear),3.7,2060,1/13/2015,3500000,100000,1.1,4.1 and up,Productivity
Tools For Wear OS (Android Wear),3.8,330,10/24/2014,4500000,50000,1,3.0 and up,Tools
